marketid,selection,selection label,line,american odds,decimal odds,participant,participant type,stat prefix,milestone value,tags selection,event id,subcategory id,market,market type,tags,book,fetched at,event name,start time,home team,away team,board scope,canonical market,canonical selection,participant name,participant venue role,market type norm,player key,market family,scope,market anchor mean,structural mean,calibrator mean,projected mean,sim mean,sim p10,sim median,sim p90,win probability,push probability,fair probability,fair american,edge,ev,projection source,structural source,pyth home probability,home runs mu,away runs mu
325879618,1+,1+,1.0,3400,35.0,Owen Caissie,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984826,17847,Owen Caissie Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,MIA Marlins @ ATL Braves,2026-04-14T23:15:00.0000000Z,ATL Braves,MIA Marlins,player props,Owen Caissie Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.13562,5.0,17.0,36.0,0.99522,0.0,0.99522,-20821,0.9666485714285714,33.8327,market_anchor,,0.5,4.25,4.25
325869583,1+,1+,1.0,3400,35.0,Taylor Walls,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984827,17847,Taylor Walls Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,TB Rays @ CHI White Sox,2026-04-14T23:40:00.0000000Z,CHI White Sox,TB Rays,player props,Taylor Walls Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.2343,5.0,17.0,37.0,0.99512,0.0,0.99512,-20392,0.9665485714285714,33.8292,market_anchor,,0.5,3.75,3.75
325869296,1+,1+,1.0,3300,34.0,Andrew Benintendi,Player,3B,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984827,17847,Andrew Benintendi Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,TB Rays @ CHI White Sox,2026-04-14T23:40:00.0000000Z,CHI White Sox,TB Rays,player props,Andrew Benintendi Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.25548,5.0,17.0,37.0,0.99586,0.0,0.99586,-24055,0.9664482352941176,32.85924,market_anchor,,0.5,3.75,3.75
325869442,1+,1+,1.0,3300,34.0,Cedric Mullins,Player,3B,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984827,17847,Cedric Mullins Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,TB Rays @ CHI White Sox,2026-04-14T23:40:00.0000000Z,CHI White Sox,TB Rays,player props,Cedric Mullins Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.13576,5.0,16.0,37.0,0.99576,0.0,0.99576,-23485,0.9663482352941176,32.85583999999999,market_anchor,,0.5,3.75,3.75
325876030,1+,1+,1.0,3300,34.0,Nathan Lukes,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984828,17847,Nathan Lukes Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,TOR Blue Jays @ MIL Brewers,2026-04-14T23:40:00.0000000Z,MIL Brewers,TOR Blue Jays,player props,Nathan Lukes Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.2872,5.0,17.0,37.0,0.99574,0.0,0.99574,-23374,0.9663282352941176,32.85516,market_anchor,,0.5,3.5,3.5
325878078,1+,1+,1.0,3300,34.0,Alec Burleson,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984832,17847,Alec Burleson Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,CLE Guardians @ STL Cardinals,2026-04-14T23:45:00.0000000Z,STL Cardinals,CLE Guardians,player props,Alec Burleson Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.23796,5.0,17.0,36.0,0.99566,0.0,0.99566,-22941,0.9662482352941176,32.85244,market_anchor,,0.5,4.25,4.25
325861977,1+,1+,1.0,3300,34.0,Carlos Narvaez,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984829,17847,Carlos Narvaez Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,BOS Red Sox @ MIN Twins,2026-04-14T23:40:00.0000000Z,MIN Twins,BOS Red Sox,player props,Carlos Narvaez Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.3138,5.0,17.0,37.0,0.99556,0.0,0.99556,-22423,0.9661482352941176,32.849039999999995,market_anchor,,0.5,4.0,4.0
325876444,1+,1+,1.0,3300,34.0,Nolan Schanuel,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984825,17847,Nolan Schanuel Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,LA Angels @ NY Yankees,2026-04-14T23:05:00.0000000Z,NY Yankees,LA Angels,player props,Nolan Schanuel Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.23406,5.0,17.0,37.0,0.99532,0.0,0.99532,-21268,0.9659082352941176,32.84088,market_anchor,,0.5,4.25,4.25
325867920,1+,1+,1.0,3300,34.0,James Wood,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984824,17847,James Wood Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,WAS Nationals @ PIT Pirates,2026-04-14T22:40:00.0000000Z,PIT Pirates,WAS Nationals,player props,James Wood Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.2739,5.0,17.0,37.0,0.99526,0.0,0.99526,-20997,0.9658482352941177,32.838840000000005,market_anchor,,0.5,4.75,4.75
325882627,1+,1+,1.0,3200,33.0,Nick Kurtz,Player,,1.0,"MostBalancedOdds, SGP, MostBalancedGlobalProbability",33984834,17847,Nick Kurtz Triples,Triples Milestones,"SGP, YourBetEligible, Cashout, IgnoreSortOrderOnPush, PlayerProps",DraftKings,2026-04-14T15:57:33Z,TEX Rangers @ Athletics,2026-04-15T01:40:00.0000000Z,Athletics,TEX Rangers,player props,Nick Kurtz Triples,1+,,,triples milestones,,triples_milestone,player,25.0,,,19.237692307692306,19.39354,5.0,17.0,37.0,0.99608,0.0,0.99608,-25410,0.9657769696969697,31.870639999999998,market_anchor,,0.5,4.5,4.5
