event_id,market_group_key,market_family,scope,segment,participant,team_name,line,milestone_value,book,selection,price_american,fair_prob,model_prob,edge_pct_points
33984819,33984819|player|full_game|alternate_team_total_runs|bal_orioles|ou_or_side|5.5,alternate_team_total_runs,player,full_game,BAL Orioles,nan,5.5,,DraftKings,over,150.0,0.37699680511182115,,
33984819,33984819|player|full_game|alternate_team_total_runs|bal_orioles|ou_or_side|5.5,alternate_team_total_runs,player,full_game,BAL Orioles,nan,5.5,,DraftKings,under,-195.0,0.623003194888179,,
33984819,33984819|player|full_game|alternate_team_total_runs|bal_orioles|ou_or_side|6.5,alternate_team_total_runs,player,full_game,BAL Orioles,nan,6.5,,DraftKings,over,230.0,0.28611304954640615,,
33984819,33984819|player|full_game|alternate_team_total_runs|bal_orioles|ou_or_side|6.5,alternate_team_total_runs,player,full_game,BAL Orioles,nan,6.5,,DraftKings,under,-310.0,0.7138869504535938,,
33984819,33984819|player|full_game|alternate_team_total_runs|bal_orioles|ou_or_side|7.5,alternate_team_total_runs,player,full_game,BAL Orioles,nan,7.5,,DraftKings,over,350.0,0.2119815668202765,,
33984819,33984819|player|full_game|alternate_team_total_runs|bal_orioles|ou_or_side|7.5,alternate_team_total_runs,player,full_game,BAL Orioles,nan,7.5,,DraftKings,under,-475.0,0.7880184331797235,,
33984819,33984819|player|full_game|alternate_team_total_runs|bal_orioles|ou_or_side|8.5,alternate_team_total_runs,player,full_game,BAL Orioles,nan,8.5,,DraftKings,over,500.0,0.1588785046728972,,
33984819,33984819|player|full_game|alternate_team_total_runs|bal_orioles|ou_or_side|8.5,alternate_team_total_runs,player,full_game,BAL Orioles,nan,8.5,,DraftKings,under,-750.0,0.8411214953271028,,
33984819,33984819|player|full_game|alternate_team_total_runs|bal_orioles|ou_or_side|9.5,alternate_team_total_runs,player,full_game,BAL Orioles,nan,9.5,,DraftKings,over,750.0,0.11194029850746268,,
33984819,33984819|player|full_game|alternate_team_total_runs|bal_orioles|ou_or_side|9.5,alternate_team_total_runs,player,full_game,BAL Orioles,nan,9.5,,DraftKings,under,-1400.0,0.8880597014925373,,
33984819,33984819|player|full_game|game_total_runs|nan|ou_or_side|8.5,game_total_runs,player,full_game,nan,nan,8.5,,DraftKings,over,-120.0,0.2608695652173913,0.5565,29.56304347826087
33984819,33984819|player|full_game|game_total_runs|nan|ou_or_side|8.5,game_total_runs,player,full_game,nan,nan,8.5,,DraftKings,under,100.0,0.2391304347826087,0.4396,20.04695652173913
33984819,33984819|player|full_game|game_total_runs|nan|ou_or_side|8.5,game_total_runs,player,full_game,nan,nan,8.5,,DraftKings,over,-120.0,0.2608695652173913,0.5562,29.533043478260872
33984819,33984819|player|full_game|game_total_runs|nan|ou_or_side|8.5,game_total_runs,player,full_game,nan,nan,8.5,,DraftKings,under,100.0,0.2391304347826087,0.44192,20.27895652173913
33984819,33984819|player|full_game|hits_milestones|coby_mayo|ou_or_side|,hits_milestones,player,full_game,Coby Mayo,nan,,,DraftKings,1+,-160.0,0.693298538938872,,
33984819,33984819|player|full_game|hits_milestones|coby_mayo|ou_or_side|,hits_milestones,player,full_game,Coby Mayo,nan,,,DraftKings,2+,348.0,0.2514754745034971,,
33984819,33984819|player|full_game|hits_milestones|coby_mayo|ou_or_side|,hits_milestones,player,full_game,Coby Mayo,nan,,,DraftKings,3+,1940.0,0.05522598655763074,,
33984819,33984819|player|full_game|hits_milestones|colton_cowser|ou_or_side|,hits_milestones,player,full_game,Colton Cowser,nan,,,DraftKings,1+,-154.0,0.6980080969478144,,
33984819,33984819|player|full_game|hits_milestones|colton_cowser|ou_or_side|,hits_milestones,player,full_game,Colton Cowser,nan,,,DraftKings,2+,371.0,0.24442889765454112,,
33984819,33984819|player|full_game|hits_milestones|colton_cowser|ou_or_side|,hits_milestones,player,full_game,Colton Cowser,nan,,,DraftKings,3+,1900.0,0.05756300539764444,,
33984819,33984819|player|full_game|hits_milestones|corbin_carroll|ou_or_side|,hits_milestones,player,full_game,Corbin Carroll,nan,,,DraftKings,1+,-253.0,0.6171670007557227,,
33984819,33984819|player|full_game|hits_milestones|corbin_carroll|ou_or_side|,hits_milestones,player,full_game,Corbin Carroll,nan,,,DraftKings,2+,211.0,0.2768831275711019,,
33984819,33984819|player|full_game|hits_milestones|corbin_carroll|ou_or_side|,hits_milestones,player,full_game,Corbin Carroll,nan,,,DraftKings,3+,920.0,0.08442220850452224,,
33984819,33984819|player|full_game|hits_milestones|corbin_carroll|ou_or_side|,hits_milestones,player,full_game,Corbin Carroll,nan,,,DraftKings,4+,3900.0,0.021527663168653174,,
33984819,33984819|player|full_game|hits_milestones|dylan_beavers|ou_or_side|,hits_milestones,player,full_game,Dylan Beavers,nan,,,DraftKings,1+,-181.0,0.6787689895929028,,
33984819,33984819|player|full_game|hits_milestones|dylan_beavers|ou_or_side|,hits_milestones,player,full_game,Dylan Beavers,nan,,,DraftKings,2+,314.0,0.2545361065412305,,
33984819,33984819|player|full_game|hits_milestones|dylan_beavers|ou_or_side|,hits_milestones,player,full_game,Dylan Beavers,nan,,,DraftKings,3+,1480.0,0.06669490386586674,,
33984819,33984819|player|full_game|hits_milestones|geraldo_perdomo|ou_or_side|,hits_milestones,player,full_game,Geraldo Perdomo,nan,,,DraftKings,1+,-226.0,0.6319362341896138,,
33984819,33984819|player|full_game|hits_milestones|geraldo_perdomo|ou_or_side|,hits_milestones,player,full_game,Geraldo Perdomo,nan,,,DraftKings,2+,237.0,0.27049081214492016,,
33984819,33984819|player|full_game|hits_milestones|geraldo_perdomo|ou_or_side|,hits_milestones,player,full_game,Geraldo Perdomo,nan,,,DraftKings,3+,1060.0,0.07858224456279146,,
33984819,33984819|player|full_game|hits_milestones|geraldo_perdomo|ou_or_side|,hits_milestones,player,full_game,Geraldo Perdomo,nan,,,DraftKings,4+,4700.0,0.018990709102674603,,
33984819,33984819|player|full_game|hits_milestones|gunnar_henderson|ou_or_side|,hits_milestones,player,full_game,Gunnar Henderson,nan,,,DraftKings,1+,-343.0,0.5911343900532291,,
33984819,33984819|player|full_game|hits_milestones|gunnar_henderson|ou_or_side|,hits_milestones,player,full_game,Gunnar Henderson,nan,,,DraftKings,2+,163.0,0.29029535278473373,,
33984819,33984819|player|full_game|hits_milestones|gunnar_henderson|ou_or_side|,hits_milestones,player,full_game,Gunnar Henderson,nan,,,DraftKings,3+,700.0,0.09543459722798121,,
