book,sport,event_id,market_id,selection_id,fetched_at,market_name,market_family,scope,segment,is_milestone,milestone_value,line,selection,participant,team_name,home_team,away_team,price_american,implied_prob,fair_prob,market_group_key,outcome_key,projection_mean,projection_prob,model_prob,edge_pct_points,score_status
DraftKings,mlb,33984827,moneyline,home,2026-04-14T20:34:24Z,moneyline,moneyline,player,full_game,False,,,home,CHI White Sox,CHI White Sox,CHI White Sox,TB Rays,117.0,0.4608294930875576,0.5,33984827|player|full_game|moneyline|chi_white_sox|ou_or_side|,33984827|player|full_game|moneyline|chi_white_sox|ou_or_side||home,,,,,market_only
DraftKings,mlb,33984828,moneyline,away,2026-04-14T20:34:24Z,moneyline,moneyline,player,full_game,False,,,away,TOR Blue Jays,TOR Blue Jays,MIL Brewers,TOR Blue Jays,109.0,0.4784688995215311,0.4939467312348668,33984828|player|full_game|moneyline|tor_blue_jays|ou_or_side|,33984828|player|full_game|moneyline|tor_blue_jays|ou_or_side||away,,,,,market_only
DraftKings,mlb,33984828,moneyline,home,2026-04-14T20:34:24Z,moneyline,moneyline,player,full_game,False,,,home,MIL Brewers,MIL Brewers,MIL Brewers,TOR Blue Jays,-131.0,0.5670995670995671,0.50425807330699,33984828|player|full_game|moneyline|mil_brewers|ou_or_side|,33984828|player|full_game|moneyline|mil_brewers|ou_or_side||home,,,,,market_only
DraftKings,mlb,33984829,moneyline,away,2026-04-14T20:34:24Z,moneyline,moneyline,player,full_game,False,,,away,BOS Red Sox,BOS Red Sox,MIN Twins,BOS Red Sox,-136.0,0.576271186440678,0.5,33984829|player|full_game|moneyline|bos_red_sox|ou_or_side|,33984829|player|full_game|moneyline|bos_red_sox|ou_or_side||away,,,,,market_only
DraftKings,mlb,33984829,moneyline,home,2026-04-14T20:34:24Z,moneyline,moneyline,player,full_game,False,,,home,MIN Twins,MIN Twins,MIN Twins,BOS Red Sox,113.0,0.4694835680751174,0.5,33984829|player|full_game|moneyline|min_twins|ou_or_side|,33984829|player|full_game|moneyline|min_twins|ou_or_side||home,,,,,market_only
DraftKings,mlb,33984832,moneyline,away,2026-04-14T20:34:24Z,moneyline,moneyline,player,full_game,False,,,away,CLE Guardians,CLE Guardians,STL Cardinals,CLE Guardians,-120.0,0.5454545454545454,0.3308931185944363,33984832|player|full_game|moneyline|cle_guardians|ou_or_side|,33984832|player|full_game|moneyline|cle_guardians|ou_or_side||away,,,,,market_only
DraftKings,mlb,33984832,moneyline,home,2026-04-14T20:34:24Z,moneyline,moneyline,player,full_game,False,,,home,STL Cardinals,STL Cardinals,STL Cardinals,CLE Guardians,100.0,0.5,0.3355263157894737,33984832|player|full_game|moneyline|stl_cardinals|ou_or_side|,33984832|player|full_game|moneyline|stl_cardinals|ou_or_side||home,,,,,market_only
DraftKings,mlb,33984833,moneyline,away,2026-04-14T20:34:24Z,moneyline,moneyline,player,full_game,False,,,away,COL Rockies,COL Rockies,HOU Astros,COL Rockies,153.0,0.3952569169960474,0.5,33984833|player|full_game|moneyline|col_rockies|ou_or_side|,33984833|player|full_game|moneyline|col_rockies|ou_or_side||away,,,,,market_only
DraftKings,mlb,33984833,moneyline,home,2026-04-14T20:34:24Z,moneyline,moneyline,player,full_game,False,,,home,HOU Astros,HOU Astros,HOU Astros,COL Rockies,-186.0,0.6503496503496503,0.5,33984833|player|full_game|moneyline|hou_astros|ou_or_side|,33984833|player|full_game|moneyline|hou_astros|ou_or_side||home,,,,,market_only
DraftKings,mlb,33984834,moneyline,away,2026-04-14T20:34:24Z,moneyline,moneyline,player,full_game,False,,,away,TEX Rangers,TEX Rangers,Athletics,TEX Rangers,-131.0,0.5670995670995671,0.5,33984834|player|full_game|moneyline|tex_rangers|ou_or_side|,33984834|player|full_game|moneyline|tex_rangers|ou_or_side||away,,,,,market_only
