sport,event_id,market,selection,line,price,participant,opponent,team_name,home_team,away_team,book,fetched_at
mlb,33984832,moneyline,away,,-120.0,CLE Guardians,,CLE Guardians,STL Cardinals,CLE Guardians,DraftKings,2026-04-14T20:34:24Z
mlb,33984832,moneyline,home,,100.0,STL Cardinals,,STL Cardinals,STL Cardinals,CLE Guardians,DraftKings,2026-04-14T20:34:24Z
mlb,33984833,moneyline,away,,153.0,COL Rockies,,COL Rockies,HOU Astros,COL Rockies,DraftKings,2026-04-14T20:34:24Z
mlb,33984833,moneyline,home,,-186.0,HOU Astros,,HOU Astros,HOU Astros,COL Rockies,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,moneyline,away,,-131.0,TEX Rangers,,TEX Rangers,Athletics,TEX Rangers,DraftKings,2026-04-14T20:34:24Z
mlb,33984834,moneyline,home,,109.0,Athletics,,Athletics,Athletics,TEX Rangers,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,moneyline,away,,-122.0,SEA Mariners,,SEA Mariners,SD Padres,SEA Mariners,DraftKings,2026-04-14T20:34:24Z
mlb,33984835,moneyline,home,,102.0,SD Padres,,SD Padres,SD Padres,SEA Mariners,DraftKings,2026-04-14T20:34:24Z
mlb,33984846,moneyline,away,,169.0,NY Mets,,NY Mets,LA Dodgers,NY Mets,DraftKings,2026-04-14T20:34:24Z
mlb,33984846,moneyline,home,,-207.0,LA Dodgers,,LA Dodgers,LA Dodgers,NY Mets,DraftKings,2026-04-14T20:34:24Z
