book,sport,event_id,market_id,selection_id,fetched_at,market_name,market_family,scope,segment,is_milestone,milestone_value,line,selection,participant,team_name,home_team,away_team,price_american,implied_prob,fair_prob,market_group_key,outcome_key,projection_mean,projection_prob,model_prob,edge_pct_points,score_status
FanDuel,nba,35486328,moneyline,away,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,away,,Houston Rockets,Los Angeles Lakers,Houston Rockets,-220.0,0.6875,,35486328|team|full_game|moneyline|houston_rockets|ou_or_side|0,35486328|team|full_game|moneyline|houston_rockets|ou_or_side|0|away,,,,,unscored_no_projection
FanDuel,nba,35486328,moneyline,home,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,home,,Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,184.0,0.352112676056338,,35486328|team|full_game|moneyline|los_angeles_lakers|ou_or_side|0,35486328|team|full_game|moneyline|los_angeles_lakers|ou_or_side|0|home,,,,,unscored_no_projection
FanDuel,nba,35486203,moneyline,away,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,away,,Toronto Raptors,Cleveland Cavaliers,Toronto Raptors,275.0,0.26666666666666666,,35486203|team|full_game|moneyline|toronto_raptors|ou_or_side|0,35486203|team|full_game|moneyline|toronto_raptors|ou_or_side|0|away,,,,,unscored_no_projection
FanDuel,nba,35486203,moneyline,home,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,home,,Cleveland Cavaliers,Cleveland Cavaliers,Toronto Raptors,-340.0,0.7727272727272727,,35486203|team|full_game|moneyline|cleveland_cavaliers|ou_or_side|0,35486203|team|full_game|moneyline|cleveland_cavaliers|ou_or_side|0|home,,,,,unscored_no_projection
FanDuel,nba,35482467,moneyline,away,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,away,,Golden State Warriors,Los Angeles Clippers,Golden State Warriors,172.0,0.36764705882352944,,35482467|team|full_game|moneyline|golden_state_warriors|ou_or_side|0,35482467|team|full_game|moneyline|golden_state_warriors|ou_or_side|0|away,,,,,unscored_no_projection
FanDuel,nba,35482467,moneyline,home,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,home,,Los Angeles Clippers,Los Angeles Clippers,Golden State Warriors,-205.0,0.6721311475409836,,35482467|team|full_game|moneyline|los_angeles_clippers|ou_or_side|0,35482467|team|full_game|moneyline|los_angeles_clippers|ou_or_side|0|home,,,,,unscored_no_projection
FanDuel,nba,35482467,spread,away,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,5.0,away,,Golden State Warriors,Los Angeles Clippers,Golden State Warriors,-108.0,0.5192307692307693,,35482467|team|full_game|spread|golden_state_warriors|ou_or_side|5,35482467|team|full_game|spread|golden_state_warriors|ou_or_side|5|away,,,,,unscored_no_projection
FanDuel,nba,35482467,spread,home,2026-04-14T18:46:40Z,spread,spread,team,full_game,False,,-5.0,home,,Los Angeles Clippers,Los Angeles Clippers,Golden State Warriors,-112.0,0.5283018867924528,,35482467|team|full_game|spread|los_angeles_clippers|ou_or_side|-5,35482467|team|full_game|spread|los_angeles_clippers|ou_or_side|-5|home,,,,,unscored_no_projection
FanDuel,nba,35486329,moneyline,away,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,away,,Minnesota Timberwolves,Denver Nuggets,Minnesota Timberwolves,190.0,0.3448275862068966,,35486329|team|full_game|moneyline|minnesota_timberwolves|ou_or_side|0,35486329|team|full_game|moneyline|minnesota_timberwolves|ou_or_side|0|away,,,,,unscored_no_projection
FanDuel,nba,35486329,moneyline,home,2026-04-14T18:46:40Z,moneyline,moneyline,team,full_game,False,,0.0,home,,Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,-230.0,0.696969696969697,,35486329|team|full_game|moneyline|denver_nuggets|ou_or_side|0,35486329|team|full_game|moneyline|denver_nuggets|ou_or_side|0|home,,,,,unscored_no_projection
