market family,scope,rows,avg_edge,avg_ev
first_inning_runs,game,60,-0.030939884750863744,-0.08321182047033492
game_moneyline,game,30,-0.09662862334833629,-0.16166165451708453
game_spread,game,30,-0.022824367078706134,-0.08250471941935172
game_total,game,30,-0.04339877521735279,-0.041811244283730696
hits_milestone,player,870,0.4188362063392982,4.405226984961636
batter_k_milestone,player,613,0.4685315927185246,2.280001179816125
singles_ou,player,520,-0.039667117447162725,-0.06035416774098477
hits_ou,player,518,-0.03407375740985968,-0.046940170870468985
hrrbi_ou,player,518,-0.035066042074040855,-0.070423303734727
rbis_ou,player,518,-0.03654229384110183,-0.06491573810083871
runs_ou,player,518,-0.03885511235736939,-0.08994899928260036
hr_milestone,player,516,0.7983708760701203,32.13817011744186
doubles_ou,player,500,-0.031065244096065103,-0.05780259674559739
walks_milestone,player,363,0.6313707324306315,3.5806462669656742
triples_milestone,player,252,0.963271941197293,32.020003571428575
tb_ou,player,228,-0.034606404036284656,-0.07985556719655786
pitcher_k_milestone,player,214,0.0301049018658635,0.31336642466299586
pitcher_k_ou,player,56,-0.029980760334541216,-0.04678359950779467
pitcher_outs_ou,player,52,-0.03497183321889956,-0.07003430104285613
pitcher_er_ou,player,46,-0.03455226269217549,-0.07004454244217957
pitcher_hits_allowed_ou,player,46,-0.03515865122007373,-0.05704485325224279
alt_team_total,team,536,-0.025278168944440235,-0.1688117244150488
team_total,team,60,-0.03280550314840576,-0.06566899397156327
