event_id,scope,segment,market_family,participant,team_name,selection,projection_mean,projection_prob,projection_source,source_market_name,line
33984819,player,full_game,hits,Coby Mayo,,1+,2.9569,0.93514,model_stack+anchor,Coby Mayo Hits,1.0
33984819,player,full_game,hits,Coby Mayo,,2+,2.9569,0.7722,model_stack+anchor,Coby Mayo Hits,2.0
33984819,player,full_game,hits,Coby Mayo,,3+,2.9569,0.55184,model_stack+anchor,Coby Mayo Hits,3.0
33984819,player,full_game,hits,Coby Mayo,,over,0.8011,0.54478,model_stack+anchor,Coby Mayo Hits O/U,0.5
33984819,player,full_game,hits,Coby Mayo,,under,0.8011,0.45556,model_stack+anchor,Coby Mayo Hits O/U,0.5
33984819,player,full_game,hits,Colton Cowser,,1+,2.9569,0.93502,model_stack+anchor,Colton Cowser Hits,1.0
33984819,player,full_game,hits,Colton Cowser,,2+,2.9569,0.76992,model_stack+anchor,Colton Cowser Hits,2.0
33984819,player,full_game,hits,Colton Cowser,,3+,2.9569,0.54852,model_stack+anchor,Colton Cowser Hits,3.0
33984819,player,full_game,hits,Colton Cowser,,over,0.7999,0.53856,model_stack+anchor,Colton Cowser Hits O/U,0.5
33984819,player,full_game,hits,Colton Cowser,,under,0.7999,0.45428,model_stack+anchor,Colton Cowser Hits O/U,0.5
33984819,player,full_game,hits,Corbin Carroll,,1+,2.9569,0.93518,model_stack+anchor,Corbin Carroll Hits,1.0
33984819,player,full_game,hits,Corbin Carroll,,2+,2.9569,0.77072,model_stack+anchor,Corbin Carroll Hits,2.0
33984819,player,full_game,hits,Corbin Carroll,,3+,2.9569,0.54874,model_stack+anchor,Corbin Carroll Hits,3.0
33984819,player,full_game,hits,Corbin Carroll,,4+,2.9569,0.34094,model_stack+anchor,Corbin Carroll Hits,4.0
33984819,player,full_game,hits,Corbin Carroll,,over,0.8237,0.55606,model_stack+anchor,Corbin Carroll Hits O/U,0.5
33984819,player,full_game,hits,Corbin Carroll,,under,0.8237,0.44956,model_stack+anchor,Corbin Carroll Hits O/U,0.5
33984819,player,full_game,hits,Dylan Beavers,,1+,2.9569,0.93624,model_stack+anchor,Dylan Beavers Hits,1.0
33984819,player,full_game,hits,Dylan Beavers,,2+,2.9569,0.7676,model_stack+anchor,Dylan Beavers Hits,2.0
33984819,player,full_game,hits,Dylan Beavers,,3+,2.9569,0.54816,model_stack+anchor,Dylan Beavers Hits,3.0
33984819,player,full_game,hits,Dylan Beavers,,over,0.8062,0.54614,model_stack+anchor,Dylan Beavers Hits O/U,0.5
33984819,player,full_game,hits,Dylan Beavers,,under,0.8062,0.45056,model_stack+anchor,Dylan Beavers Hits O/U,0.5
33984819,player,full_game,hits,Geraldo Perdomo,,1+,2.9569,0.93748,model_stack+anchor,Geraldo Perdomo Hits,1.0
33984819,player,full_game,hits,Geraldo Perdomo,,2+,2.9569,0.77382,model_stack+anchor,Geraldo Perdomo Hits,2.0
33984819,player,full_game,hits,Geraldo Perdomo,,3+,2.9569,0.55082,model_stack+anchor,Geraldo Perdomo Hits,3.0
33984819,player,full_game,hits,Geraldo Perdomo,,4+,2.9569,0.34518,model_stack+anchor,Geraldo Perdomo Hits,4.0
33984819,player,full_game,hits,Geraldo Perdomo,,over,0.8199,0.54684,model_stack+anchor,Geraldo Perdomo Hits O/U,0.5
33984819,player,full_game,hits,Geraldo Perdomo,,under,0.8199,0.45022,model_stack+anchor,Geraldo Perdomo Hits O/U,0.5
33984819,player,full_game,hits,Gunnar Henderson,,1+,2.9569,0.93506,model_stack+anchor,Gunnar Henderson Hits,1.0
33984819,player,full_game,hits,Gunnar Henderson,,2+,2.9569,0.77016,model_stack+anchor,Gunnar Henderson Hits,2.0
33984819,player,full_game,hits,Gunnar Henderson,,3+,2.9569,0.5507,model_stack+anchor,Gunnar Henderson Hits,3.0
33984819,player,full_game,hits,Gunnar Henderson,,4+,2.9569,0.34666,model_stack+anchor,Gunnar Henderson Hits,4.0
